# Which of the language's 114 lexer words each editor integration actually knows.
# One row per word in surface.lock's `keywords` (the lexer's own word set), with
# the verdict MEASURED rather than read off the grammar source: the `zed` column
# is the tree-sitter node kind the word lexes to, the `vscode` column is the
# first tmLanguage pattern whose `match` spans the whole word. `identifier` /
# `none` means the editors treat it as an ordinary name.
#
# It exists because `packed` shipped in V2 and both grammars read it as an
# identifier for a day: the Zed corpus lane still parsed 1339 files green,
# because a word the grammar does not know is not a parse error. Nothing in the
# tree could redden. scripts/editors_check.sh checks every row against a real
# parse, so a new keyword that misses an editor is now a red lane.
#
# word	zed	vscode	reason
packed	keyword	keyword.other.tycho	struct layout modifier (spec 17.1b); added to both grammars 2026-09-04, phase V2d
parallel	keyword	keyword.control.tycho	control-flow keyword
pass	keyword	keyword.control.tycho	control-flow keyword
pop	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
pow	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
print	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
println	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
ptr	type	storage.type.tycho	built-in type name
push	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
range	identifier	none	deleted from the language 2026-07-29; deliberately UNhighlighted (grammar.js says why, beside the builtin list)
read_all	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
read_file	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
recv	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
reserve	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
return	keyword	keyword.control.tycho	control-flow keyword
select	keyword	keyword.control.tycho	control-flow keyword
send	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
sink	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
size_of	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
soa	keyword	keyword.other.tycho	declaration keyword
spawn	keyword	keyword.control.tycho	control-flow keyword
split	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
sqrt	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
str	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
string	type	storage.type.tycho	built-in type name
struct	keyword	keyword.other.tycho	declaration keyword
subscript	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
substr	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
to_bool	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_bytes	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_char	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_float	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_int	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_ptr	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_str	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
to_under	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
true	constant	constant.language.tycho	literal constant
type	keyword	keyword.other.tycho	declaration keyword
u16	type	storage.type.tycho	hard-reserved sized type (TK_KW_U16 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
u32	type	storage.type.tycho	hard-reserved sized type (TK_KW_U32 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
u64	type	storage.type.tycho	hard-reserved sized type (TK_KW_U64 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
u8	type	storage.type.tycho	hard-reserved sized type (TK_KW_U8 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
vector	keyword	keyword.other.tycho	contextual type keyword (spec 5.3.11); added to both grammars 2026-09-04, phase V3 -- like `bounded`, it is a word only in type position and stays a legal identifier elsewhere
void	type	storage.type.tycho	built-in type name
wait	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
where	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
while	keyword	keyword.control.tycho	control-flow keyword
write_file	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
yield	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
zero	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
